"pid","grp","duration","entry","exit","num"
3222,"inactive",111,106,356,7046
3234,"inactive",111,106,356,7046
3240,"inactive",111,106,357,7046
3241,"inactive",111,106,357,7046
3244,"inactive",111,106,357,7046
3248,"inactive",111,106,363,7046
3261,"inactive",111,106,359,7046
3263,"inactive",112,107,359,7046
3267,"inactive",112,107,359,7046
3270,"inactive",112,107,358,7046
3279,"inactive",112,107,360,7046
3284,"inactive",112,107,358,7046
3288,"inactive",112,107,363,7046
3289,"inactive",112,107,363,7046
3304,"inactive",113,108,363,7046
3305,"inactive",113,108,362,7046
3306,"inactive",113,108,366,7046
3314,"inactive",113,108,361,7046
3332,"inactive",114,109,367,7046
3333,"inactive",114,109,368,7046
3336,"inactive",114,109,370,7046
3364,"inactive",115,110,368,7046
3365,"inactive",115,110,367,7046
3371,"inactive",115,110,372,7046
3384,"inactive",115,110,370,7046
3407,"inactive",116,111,374,7046
3417,"inactive",116,111,372,7046
3434,"inactive",117,112,378,7046
3436,"inactive",117,112,375,7046
3439,"inactive",117,112,372,7046
3460,"inactive",118,113,375,7046
3466,"inactive",118,113,374,7046
3469,"inactive",118,113,375,7046
3471,"inactive",118,113,373,7046
3483,"inactive",119,114,375,7046
3484,"inactive",119,114,379,7046
3485,"inactive",119,114,377,7046
3487,"inactive",119,114,378,7046
3495,"inactive",119,114,378,7046
3507,"inactive",120,115,375,7046
3521,"inactive",120,115,378,7046
3523,"inactive",120,115,378,7046
3528,"inactive",120,115,382,7046
3530,"inactive",120,115,380,7046
3534,"inactive",121,116,380,7046
3536,"inactive",121,116,380,7046
3541,"inactive",121,116,382,7046
3546,"inactive",121,116,377,7046
3554,"inactive",121,116,383,7046
3564,"inactive",122,117,384,7046
3566,"inactive",122,117,384,7046
3571,"inactive",122,117,381,7046
3573,"inactive",122,117,386,7046
3582,"inactive",122,117,392,7046
3600,"inactive",123,118,384,7046
3605,"inactive",123,118,386,7046
3606,"inactive",123,118,383,7046
3610,"inactive",123,118,386,7046
3613,"inactive",123,118,392,7046
3614,"inactive",123,118,388,7046
3623,"inactive",124,119,393,7046
3624,"inactive",124,119,386,7046
3630,"inactive",124,119,385,7046
3636,"inactive",124,119,388,7046
3654,"inactive",125,120,394,7046
3655,"inactive",125,120,387,7046
3657,"inactive",125,120,391,7046
3661,"inactive",125,120,391,7046
3671,"inactive",125,120,390,7046
3675,"inactive",125,120,393,7046
3681,"inactive",125,120,391,7046
3687,"inactive",126,121,393,7046
3690,"inactive",126,121,393,7046
3694,"inactive",126,121,392,7046
3707,"inactive",127,122,392,7046
3716,"inactive",127,122,395,7046
3731,"inactive",128,123,394,7046
3732,"inactive",128,123,393,7046
3733,"inactive",128,123,396,7046
3738,"inactive",128,123,398,7046
3744,"inactive",128,123,397,7046
3768,"inactive",129,124,396,7046
3772,"inactive",129,124,401,7046
3785,"inactive",129,124,395,7046
3792,"inactive",130,125,401,7046
3794,"inactive",130,125,397,7046
3801,"inactive",130,125,406,7046
3809,"inactive",130,125,399,7046
3811,"inactive",130,125,400,7046
3815,"inactive",130,125,407,7046
3817,"inactive",131,126,401,7046
3824,"inactive",131,126,404,7046
3826,"inactive",131,126,409,7046
3834,"inactive",131,126,406,7046
3836,"inactive",131,126,405,7046
3841,"inactive",131,126,408,7046
3858,"inactive",132,127,404,7046
3861,"inactive",132,127,404,7046
3862,"inactive",132,127,406,7046
3875,"inactive",132,127,404,7046
3883,"inactive",133,128,403,7046
3891,"inactive",133,128,406,7046
3893,"inactive",133,128,411,7046
3903,"inactive",133,128,410,7046
3909,"inactive",134,129,409,7046
3913,"inactive",134,129,409,7046
3924,"inactive",134,129,412,7046
3934,"inactive",134,129,414,7046
3941,"inactive",135,130,412,7046
3942,"inactive",135,130,410,7046
3955,"inactive",135,130,415,7046
3980,"inactive",136,131,416,7046
3981,"inactive",136,131,413,7046
3982,"inactive",136,131,415,7046
3983,"inactive",136,131,413,7046
3986,"inactive",136,131,412,7046
3992,"inactive",136,131,413,7046
3997,"inactive",137,132,413,7046
4007,"inactive",137,132,417,7046
4017,"inactive",137,132,417,7046
4024,"inactive",137,132,419,7046
4030,"inactive",138,133,420,7046
4044,"inactive",138,133,425,7046
4051,"inactive",138,133,425,7046
4059,"inactive",139,134,422,7046
4063,"inactive",139,134,420,7046
4079,"inactive",139,134,424,7046
4081,"inactive",139,134,420,7046
4085,"inactive",139,134,423,7046
4089,"inactive",139,134,425,7046
4100,"inactive",140,135,420,7046
4146,"inactive",142,137,424,7046
4148,"inactive",142,137,427,7046
4149,"inactive",142,137,425,7046
4154,"inactive",142,137,427,7046
4155,"inactive",142,137,427,7046
4157,"inactive",142,137,430,7046
4161,"inactive",142,137,424,7046
4162,"inactive",142,137,430,7046
4163,"inactive",142,137,434,7046
4183,"inactive",143,138,431,7046
4186,"inactive",144,139,430,7046
4198,"inactive",144,139,430,7046
4201,"inactive",144,139,434,7046
4203,"inactive",144,139,430,7046
4221,"inactive",145,140,429,7046
4225,"inactive",145,140,435,7046
4227,"inactive",145,140,434,7046
4234,"inactive",145,140,432,7046
4241,"inactive",146,141,442,7046
4242,"inactive",146,141,435,7046
4257,"inactive",146,141,437,7046
4274,"inactive",146,141,436,7046
